procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 150911904  49620 5023372    0    0     0    40 12982 11615  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 150911904  49620 5023372    0    0     0     0 13006 12941  2  0 97  0  0
106  0      0 150911360  49620 5024124    0    0     0     0 12832 11917  2  0 97  0  0
368  0      0 150911616  49620 5024216    0    0     0     0 12589 11433  2  0 97  0  0
20  0      0 150911648  49620 5024200    0    0     0     0 11781 11575  2  0 98  0  0
31  0      0 150911424  49620 5024192    0    0     0     0 12718 11637  2  0 97  0  0
 9  0      0 150909728  49620 5024492    0    0     0     0 14862 12786  2  0 97  0  0
25  0      0 150909760  49620 5024732    0    0     0     0 13261 12243  2  0 97  0  0
286  0      0 150909536  49620 5024772    0    0     0     0 12485 11367  2  0 97  0  0
60  0      0 150906400  49620 5024772    0    0     0    12 11781 12348  2  0 97  0  0
88  0      0 150906512  49620 5024772    0    0     0     0 12461 11463  2  0 97  0  0
15  0      0 150906512  49628 5024764    0    0     0    40 13097 12996  2  0 98  0  0
18  0      0 150907024  49628 5025516    0    0     0     0 12940 12606  2  0 98  0  0
13  0      0 150906384  49628 5025516    0    0     0     0 13560 11509  2  0 97  0  0
13  0      0 150906896  49628 5025516    0    0     0     0 13330 12759  2  0 98  0  0
20  0      0 150907024  49628 5025348    0    0     0     0 13329 12928  2  0 97  0  0
123  0      0 150906864  49628 5025448    0    0     0     0 13173 11204  2  0 97  0  0
66  0      0 150906928  49628 5025112    0    0     0     0 13061 11319  2  0 97  0  0
10  0      0 150906112  49628 5025112    0    0     0     0 13447 12263  2  0 97  0  0
50  0      0 150902080  49636 5025292    0    0     0    52 14823 15348  2  0 97  0  0
31  0      0 150901792  49636 5025332    0    0     0     0 12060 11591  2  0 98  0  0
 9  0      0 150901936  49636 5025360    0    0     0     0 13055 11852  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 150901872  49636 5025360    0    0     0     0 13925 11961  2  0 97  0  0
13  0      0 150901872  49636 5025360    0    0     0     0 12135 11128  2  0 97  0  0
 6  0      0 150903168  49644 5025588    0    0     0    40 14887 13119  2  0 97  0  0
179  0      0 150903312  49644 5026056    0    0     0     0 12499 12140  2  0 98  0  0
26  0      0 150903424  49644 5026056    0    0     0     0 12878 12048  2  0 98  0  0
73  0      0 150902864  49644 5026056    0    0     0     0 12693 11787  2  0 97  0  0
62  0      0 150902864  49644 5026056    0    0     0     0 11975 11584  2  0 98  0  0
95  0      0 150900928  49644 5026060    0    0     0    20 12898 12081  2  0 97  0  0
353  0      0 150899840  49644 5026060    0    0     0     0 12405 11698  2  0 97  0  0
26  0      0 150899840  49644 5026060    0    0     0     0 12027 11312  2  0 97  0  0
90  0      0 150899840  49644 5026060    0    0     0     0 13167 12346  2  0 97  0  0
