procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 142407008  67636 5709288    0    0     0     0 13917 14608  2  0 98  0  0
15  0      0 142407008  67636 5709288    0    0     0     0 13846 14801  2  0 98  0  0
12  0      0 142407008  67636 5709284    0    0     0     0 14472 14861  2  0 97  0  0
11  0      0 142407008  67644 5709284    0    0     0    40 13863 14187  2  0 98  0  0
23  0      0 142407088  67644 5709284    0    0     0     0 13959 14189  2  0 97  0  0
14  0      0 142407088  67644 5709284    0    0     0     0 13983 14609  2  0 98  0  0
17  0      0 142391152  67644 5717980    0    0     0     0 18130 20171  2  0 97  0  0
15  0      0 142388640  67644 5724748    0    0     0     0 16389 18094  2  0 97  0  0
11  0      0 142387872  67644 5724748    0    0     0     0 14540 14971  2  0 97  0  0
12  0      0 142387104  67644 5724748    0    0     0     0 14684 14625  2  0 97  0  0
16  0      0 142386464  67652 5724740    0    0     0    56 14533 14466  2  0 97  0  0
12  0      0 142386480  67652 5724740    0    0     0     0 14154 13912  2  0 98  0  0
12  0      0 142386480  67652 5724740    0    0     0     0 13864 14164  2  0 98  0  0
14  0      0 142386480  67652 5724740    0    0     0     0 13817 13932  2  0 98  0  0
13  0      0 142385936  67652 5724740    0    0     0     0 15753 14513  3  0 97  0  0
13  0      0 142388896  67652 5725816    0    0     0    20 14407 14803  2  0 97  0  0
12  0      0 142388560  67656 5725816    0    0     0    52 14084 14585  2  0 98  0  0
43  0      0 142384752  67656 5725816    0    0     0     0 14074 14312  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0      0 142384864  67656 5725816    0    0     0     0 13976 14256  2  0 98  0  0
14  0      0 142384864  67656 5725816    0    0     0     0 14061 14658  2  0 97  0  0
12  0      0 142384864  67656 5725816    0    0     0     0 13999 15327  2  0 98  0  0
17  0      0 142384864  67656 5725816    0    0     0     0 13941 15275  2  0 97  0  0
15  0      0 142384224  67656 5726552    0    0     0     0 13845 15030  2  0 98  0  0
11  0      0 142383696  67656 5726584    0    0     0     0 14334 14676  2  0 97  0  0
12  0      0 142383776  67656 5726584    0    0     0     0 13861 14855  2  0 97  0  0
13  0      0 142379552  67656 5726584    0    0     0    12 13890 14065  2  0 98  0  0
13  0      0 142375216  67656 5726584    0    0     0     0 13771 14344  2  0 98  0  0
16  0      0 142366704  67656 5726584    0    0     0     0 13969 14358  2  0 97  0  0
13  0      0 142361584  67656 5727364    0    0     0    40 14487 14442  2  0 98  0  0
15  0      0 142356928  67656 5727636    0    0     0     0 13896 13857  2  0 98  0  0
11  0      0 142354880  67656 5727636    0    0     0     0 13858 14085  2  0 97  0  0
12  0      0 142350544  67656 5727636    0    0     0     0 13988 14157  2  0 98  0  0
12  0      0 142346448  67656 5727636    0    0     0     0 13871 13999  2  0 98  0  0
11  0      0 142344272  67656 5727636    0    0     0     0 13849 14126  2  0 98  0  0
13  0      0 142338512  67656 5729892    0    0     0     0 14270 14710  2  0 97  0  0
11  0      0 142333472  67656 5729684    0    0     0     0 15595 14528  2  0 97  0  0
11  0      0 142331408  67656 5729684    0    0     0     0 13987 14470  2  0 98  0  0
12  0      0 142324960  67656 5729684    0    0     0     0 13791 13877  2  0 98  0  0
13  0      0 142319520  67656 5729684    0    0     0     0 13840 13887  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0      0 142316736  67656 5733444    0    0     0     0 15363 17048  2  0 97  0  0
20  0      0 142314336  67660 5733440    0    0     0    52 13856 14396  2  0 97  0  0
13  0      0 142316576  67660 5733844    0    0     0     0 14683 14601  2  0 97  0  0
12  0      0 142316720  67660 5733844    0    0     0     0 13979 14120  2  0 97  0  0
12  0      0 142314656  67660 5733844    0    0     0     0 13792 14406  2  0 97  0  0
12  0      0 142314656  67660 5733844    0    0     0     0 14520 14299  3  0 97  0  0
20  0      0 142306592  67660 5742116    0    0     0    20 16502 17717  2  0 97  0  0
12  0      0 142306560  67668 5742108    0    0     0    40 13739 14222  2  0 97  0  0
15  0      0 142304448  67668 5742108    0    0     0     0 13756 14324  2  0 98  0  0
16  0      0 142304448  67668 5742108    0    0     0     0 13801 14165  2  0 97  0  0
14  0      0 142304448  67668 5742108    0    0     0     0 13806 14127  2  0 98  0  0
21  0      0 142304448  67668 5742108    0    0     0     0 13708 14286  2  0 97  0  0
23  0      0 142304448  67668 5742108    0    0     0     0 13834 14687  2  0 98  0  0
20  0      0 142304448  67668 5742108    0    0     0     0 14300 15128  2  0 98  0  0
24  0      0 142304448  67668 5742108    0    0     0     0 13916 14566  2  0 97  0  0
19  0      0 142304448  67668 5742108    0    0     0     0 13870 14290  2  0 97  0  0
40  0      0 142289184  67668 5757092    0    0     0    12 18032 20562  2  0 97  0  0
24  0      0 142288896  67668 5757396    0    0     0     0 13793 14144  2  0 97  0  0
13  0      0 142286656  67668 5757396    0    0     0     0 13822 14227  2  0 98  0  0
11  0      0 142286736  67668 5757536    0    0     0     0 15470 14565  2  0 97  0  0
13  0      0 142286816  67668 5757536    0    0     0     0 13937 14444  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 142286816  67676 5757528    0    0     0    52 14076 14591  2  0 97  0  0
52  0      0 142287504  67676 5757528    0    0     0     0 13877 14878  2  0 98  0  0
83  0      0 142286704  67676 5757524    0    0     0     0 14863 15393  2  0 97  0  0
90  0      0 142286960  67676 5757524    0    0     0     0 14348 15213  2  0 98  0  0
94  0      0 142286960  67676 5757524    0    0     0     0 14283 15380  2  0 97  0  0
98  0      0 142286960  67676 5757524    0    0     0     0 14139 15159  2  0 98  0  0
111  0      0 142286320  67676 5757548    0    0     0     0 16575 15904  2  0 97  0  0
116  0      0 142284160  67676 5757548    0    0     0     0 14629 15067  2  0 98  0  0
130  0      0 142283280  67684 5757608    0    0     0    44 15217 15487  2  0 97  0  0
128  0      0 142283168  67684 5757608    0    0     0    20 15716 15181  2  0 97  0  0
